#,Category,Brand Name,Program Name,Direct Sign-Up URL,Free to Join (Yes/No),Notes,Sign_Up_Type,Required_Fields,Auto_Signup_Feasible,Reward_on_Signup,Barriers  
851,Gas,Casey's,Casey's Rewards,https://www.caseys.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
852,Gas,Kum & Go,Kum & Go Rewards,https://www.kumandgo.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
853,Gas,Gate Petroleum,Gate Rewards,https://www.gatepetro.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
854,Gas,QuickChek,QuickChek Rewards,https://www.quickchek.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
855,Gas,GetGo,GetGo Rewards,https://www.getgogas.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
856,Gas,Buc-ee's,Buc-ee's Rewards,https://www.buc-ees.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
857,Gas,Yesway,Yesway Rewards,https://www.yesway.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
858,Grocery,Kroger,Kroger Rewards,https://www.kroger.com/pr/free-membership,Yes,Fuel points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
859,Grocery,Safeway,Safeway for U,https://www.safeway.com/foru-guest.html,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
860,Grocery,Albertsons,Albertsons for U,https://www.albertsons.com/foru,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
861,Grocery,Publix,Club Publix,https://www.publix.com/club-publix,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
862,Grocery,Meijer,Meijer mPerks,https://www.meijer.com/mperks,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
863,Grocery,Giant Food,Giant Flexible Rewards,https://www.giantfood.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
864,Grocery,Harris Teeter,Harris Teeter Rewards,https://www.harristeeter.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
865,Grocery,Stop & Shop,Stop & Shop Rewards,https://www.stopandshop.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
866,Grocery,Food Lion,Food Lion Rewards,https://www.foodlion.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
867,Grocery,Wegmans,Wegmans Rewards,https://www.wegmans.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
868,Grocery,H-E-B,H-E-B Rewards,https://www.heb.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
869,Grocery,Sprouts,Sprouts Rewards,https://www.sprouts.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
870,Grocery,ALDI,ALDI Express,https://www.aldi.us/aldi-express,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
871,Grocery,Giant Eagle,Giant Eagle Rewards,https://www.gianteagle.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
872,Grocery,Hy-Vee,Hy-Vee Rewards,https://www.hy-vee.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
873,Grocery,Jewel-Osco,Jewel-Osco Rewards,https://www.jewelosco.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
874,Pharmacy,CVS,CVS ExtraBucks,https://www.cvs.com/extracare/overview,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
875,Pharmacy,CVS,CVS ExtraCare Sign-Up,https://www.cvs.com/extracare/home,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
876,Pharmacy,CVS,CVS ExtraCare New Card,https://www.cvs.com/extracare/new-card,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
877,Pharmacy,Walgreens,Walgreens Cash Rewards,https://www.walgreens.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
878,Pharmacy,Rite Aid,Rite Aid Rewards,https://www.riteaid.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
879,Pharmacy,BJ's Wholesale,BJ's Rewards,https://www.bjs.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
880,Dining,Chick-fil-A,Chick-fil-A One,https://www.chick-fil-a.com/one,Yes,Tiered,Full Registration,"email, name, phone",Yes,None noted,None noted  
881,Dining,Starbucks,Starbucks Rewards,https://www.starbucks.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
882,Dining,McDonald's,McDonald's App,https://www.mcdonalds.com/us/en-us/mcd-app.html,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
883,Dining,Subway,Subway MyWay,https://www.subway.com/en-US/myway,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
884,Dining,Taco Bell,Taco Bell Rewards,https://www.tacobell.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
885,Dining,Chipotle,Chipotle Rewards,https://www.chipotle.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
886,Dining,Panera,Panera Rewards,https://www.panerabread.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
887,Dining,Wendy's,Wendy's Rewards,https://www.wendys.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
888,Dining,Dunkin',Dunkin' Rewards,https://www.dunkindonuts.com/dunkin-rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
889,Dining,Olive Garden,Olive Garden Rewards,https://www.olivegarden.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
890,Dining,Outback,Outback Rewards,https://www.outback.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
891,Dining,Chili's,Chili's Rewards,https://www.chilis.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
892,Dining,Applebee's,Applebee's Rewards,https://www.applebees.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
893,Dining,TGI Friday's,TGI Friday's Rewards,https://www.tgifridays.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
894,Dining,Popeyes,Popeyes Rewards,https://www.popeyes.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
895,Dining,Burger King,BK Crown,https://www.bk.com/crown,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
896,Dining,Jack in the Box,Jack in the Box Rewards,https://www.jackinthebox.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
897,Dining,Whataburger,Whataburger Rewards,https://www.whataburger.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
898,Dining,Shake Shack,Shake Shack Rewards,https://www.shakeshack.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
899,Dining,Five Guys,Five Guys Rewards,https://www.fiveguys.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
900,Dining,Mellow Mushroom,Mellow Rewards,https://www.mellowmushroom.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
901,Dining,MOD Pizza,MOD Rewards,https://www.modpizza.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
902,Dining,California Pizza Kitchen,CPK Rewards,https://www.cpk.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
903,Dining,Papa John's,Papa Rewards,https://www.papajohns.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
904,Dining,Little Caesars,Little Caesars Rewards,https://www.littlecaesars.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
905,Dining,Marco's Pizza,Marco's Rewards,https://www.marcos.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
906,Dining,Donatos,Donatos Rewards,https://www.donatos.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
907,Dining,Sbarro,Sbarro Rewards,https://www.sbarro.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
908,Dining,Pizza Hut,Pizza Hut Rewards,https://www.pizzahut.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
909,Dining,Domino's,Domino's Rewards,https://www.dominos.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
910,Dining,BJ's Restaurants,BJ's Rewards,https://www.bjsrestaurants.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
911,Dining,Perkins,Perkins Rewards,https://www.perkinsrestaurants.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
912,Dept Store,Nordstrom,Nordy Club,https://www.nordstrom.com/nordy-club,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
913,Dept Store,Nordstrom Rack,Nordstrom Rack Rewards,https://www.nordstromrack.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
914,Dept Store,Saks Fifth Avenue,SaksFirst,https://www.saksfifthavenue.com/saksfirst,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
915,Dept Store,Saks Off 5th,SaksFirst,https://www.saksoff5th.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
916,Dept Store,Neiman Marcus,InCircle,https://www.neimanmarcus.com/incircle,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
917,Dept Store,Bergdorf Goodman,BG Rewards,https://www.bergdorfgoodman.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
918,Dept Store,Bloomingdale's,Bloomingdale's Rewards,https://www.bloomingdales.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
919,Dept Store,Macy's,Star Rewards,https://www.macys.com/account/starrewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
920,Dept Store,JCPenney,JCPenney Rewards,https://www.jcpenney.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
921,Dept Store,Kohl's,Kohl's Rewards,https://www.kohls.com/feature/rewards.jsp,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
922,Dept Store,Dillard's,Dillard's Card,https://www.dillards.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
923,Dept Store,Belk,Belk Rewards,https://www.belk.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
924,Dept Store,Lord & Taylor,L\&T Rewards,https://www.lordandtaylor.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
925,Dept Store,Von Maur,Von Maur Account,https://www.vonmaur.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
926,Dept Store,Dick's Sporting Goods,ScoreCard,https://www.dickssportinggoods.com/scorecard,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
927,Dept Store,REI,REI Co-op Membership,https://www.rei.com/membership,No,$30 lifetime fee,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
928,Beauty & Cosmetics,Sephora,Beauty Insider,https://www.sephora.com/beauty/loyalty-program,Yes,Tiered,Full Registration,"email, name, phone",Yes,None noted,None noted  
929,Beauty & Cosmetics,Sephora,Beauty Insider Alt,https://www.sephora.com/BeautyInsider,Yes,Alternative signup,Full Registration,"email, name, phone",Yes,None noted,None noted  
930,Beauty & Cosmetics,Ulta Beauty,Ulta Rewards,https://www.ulta.com/rewards/all,Yes,44M+ members,Full Registration,"email, name, phone",Yes,None noted,None noted  
931,Beauty & Cosmetics,MAC,MAC Rewards,https://www.maccosmetics.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
932,Beauty & Cosmetics,Clinique,Clinique Rewards,https://www.clinique.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
933,Beauty & Cosmetics,Estee Lauder,EL Rewards,https://www.esteelauder.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
934,Beauty & Cosmetics,Lancôme,Lancôme Rewards,https://www.lancome.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
935,Beauty & Cosmetics,Dermablend,Dermablend Rewards,https://www.dermablend.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
936,Beauty & Cosmetics,BareMinerals,BM Rewards,https://www.bareminerals.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
937,Beauty & Cosmetics,Too Faced,TF Rewards,https://www.toofaced.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
938,Beauty & Cosmetics,Urban Decay,UD Rewards,https://www.urbandecay.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
939,Beauty & Cosmetics,Benefit Cosmetics,Benefit Rewards,https://www.benefitcosmetics.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
940,Beauty & Cosmetics,NARS,NARS Club,https://www.narscosmetics.com/club,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
941,Beauty & Cosmetics,Bobbi Brown,BB Rewards,https://www.bobbibrowncosmetics.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
942,Beauty & Cosmetics,Make Up For Ever,MUE Rewards,https://www.makeupforever.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
943,Beauty & Cosmetics,ColourPop,ColourPop Rewards,https://colourpop.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
944,Beauty & Cosmetics,e.l.f. Cosmetics,e.l.f. Love,https://www.elfcosmetics.com/love,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
945,Beauty & Cosmetics,NYX Cosmetics,NYX Rewards,https://www.nyxcosmetics.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
946,Beauty & Cosmetics,Revlon,Revlon Rewards,https://www.revlon.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
947,Beauty & Cosmetics,L'Oreal Paris,L'Oreal Insider,https://www.lorealparisusa.com/insider,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
948,Beauty & Cosmetics,Maybelline,MNY Rewards,https://www.maybelline.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
949,Fashion & Apparel,Nike,Nike Membership,https://www.nike.com/us/membership,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
950,Fashion & Apparel,Adidas,Adidas Creators Club,https://www.adidas.com/us/creators-club,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
951,Fashion & Apparel,Under Armour,Under Armour Rewards,https://www.underarmour.com/en-us/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
952,Fashion & Apparel,Puma,PUMA Rewards,https://www.puma.com/us/en/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
953,Fashion & Apparel,Converse,Converse Rewards,https://www.converse.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
954,Fashion & Apparel,Vans,Vans Family,https://www.vans.com/us/en/family,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
955,Fashion & Apparel,Reebok,Reebok Rewards,https://www.reebok.com/us/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
956,Fashion & Apparel,FILA,FILA Rewards,https://www.fila.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
957,Fashion & Apparel,Levi's,Levi's Friends & Family,https://www.levis.com/us/en/friends-family,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
958,Fashion & Apparel,Wrangler,Wrangler Rewards,https://www.wrangler.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
959,Fashion & Apparel,Lee,Lee Rewards,https://www.lee.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
960,Fashion & Apparel,Guess,Guess Rewards,https://www.guess.com/us/en/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
961,Fashion & Apparel,Ulla Johnson,UJ Rewards,https://www.ullajohnson.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
962,Fashion & Apparel,Uniqlo,Uniqlo Rewards,https://www.uniqlo.com/us/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
963,Fashion & Apparel,Gap,Gap Rewards,https://www.gap.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
964,Fashion & Apparel,Old Navy,Navy Rewards,https://www.oldnavy.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
965,Fashion & Apparel,Banana Republic,BR Rewards,https://www.bananarepublic.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
966,Fashion & Apparel,Express,Express Rewards,https://www.express.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
967,Fashion & Apparel,Forever 21,F21 Rewards,https://www.forever21.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
968,Fashion & Apparel,H\&M,H\&M Membership,https://www2.hm.com/en_us/member.html,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
969,Fashion & Apparel,Zara,Zara Newsletter,https://www.zara.com/us,Yes,Free newsletter,Email Only,email,Yes,None noted,None noted  
970,Catalog,Pet Valu,Pet Valu Rewards,https://www.petvalu.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
971,Auto,Toyota,Toyota Rewards,https://www.toyota.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
972,Auto,Honda,Honda Rewards,https://www.honda.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
973,Auto,Ford,Ford Pass,https://www.ford.com/owner/fordpass,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
974,Auto,Chevrolet,Chevy My Rewards,https://www.chevrolet.com/owner/benefits,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
975,Auto,Hyundai,Hyundai Rewards,https://www.hyundaiusa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
976,Auto,Kia,Kia Rewards,https://www.kia.com/us/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
977,Auto,Nissan,Nissan Rewards,https://www.nissanusa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
978,Auto,Subaru,Subaru Rewards,https://www.subaru.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
979,Auto,Mazda,Mazda Rewards,https://www.mazdausa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
980,Auto,Volkswagen,VW Rewards,https://www.vw.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
981,Auto,BMW,BMW Rewards,https://www.bmwusa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
982,Auto,Mercedes-Benz,MB Rewards,https://www.mbusa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
983,Auto,Audi,Audi Rewards,https://www.audiusa.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
984,Auto,Lexus,Lexus Rewards,https://www.lexus.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
985,Auto,Acura,Acura Rewards,https://www.acura.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
986,Auto,Infiniti,Infiniti Rewards,https://www.infiniti.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
987,Auto,Cadillac,Cadillac Rewards,https://www.cadillac.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
988,Auto,Buick,Buick Rewards,https://www.buick.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
989,Auto,GMC,GMC Rewards,https://www.gmc.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
990,Auto,Ram,Ram Rewards,https://www.ramtrucks.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
991,Auto,Jeep,Jeep Rewards,https://www.jeep.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
992,Auto,Dodge,Dodge Rewards,https://www.dodge.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
993,Auto,Chrysler,Chrysler Rewards,https://www.chrysler.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
994,Auto,Volvo,Volvo Rewards,https://www.volvocars.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
995,Auto,Porsche,Porsche Rewards,https://www.porsche.com/usa/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
996,Dept Store,Northern Tool,NT Rewards,https://www.northerntool.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
997,Electronics & Tech,Apple,Apple ID,https://appleid.apple.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
998,Electronics & Tech,Samsung,Samsung Rewards,https://www.samsung.com/us/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
999,Electronics & Tech,Google,Google Play,https://play.google.com/store,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1000,Electronics & Tech,Microsoft,Microsoft Account,https://account.microsoft.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1001,Electronics & Tech,Microsoft,Microsoft Rewards,https://rewards.microsoft.com,Yes,Points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
1002,Electronics & Tech,Best Buy,My Best Buy,https://www.bestbuy.com/my-best-buy,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1003,Electronics & Tech,B\&H Photo,B\&H Rewards,https://www.bhphotovideo.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1004,Electronics & Tech,Newegg,Newegg Rewards,https://www.newegg.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1005,Electronics & Tech,GameStop,PowerUp Rewards,https://www.gamestop.com/powerup-rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1006,Electronics & Tech,Dell,Dell Rewards,https://www.dell.com/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1007,Electronics & Tech,HP,HP Rewards,https://www.hp.com/us-en/shop/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1008,Electronics & Tech,Lenovo,Lenovo Rewards,https://www.lenovo.com/us/en/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1009,Soft Pull Credit Cards,USAA,USAA Pre-Qual,https://www.usaa.com/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1010,Soft Pull Credit Cards,PenFed,PenFed Pre-Qual,https://www.penfed.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1011,Soft Pull Credit Cards,State Employees (NC),SECU Cards,https://www.ncsecu.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1012,Soft Pull Credit Cards,Golden 1 Credit Union,Golden 1 Cards,https://www.golden1.com/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1013,Soft Pull Credit Cards,SchoolsFirst FCU,SchoolsFirst FCU,https://www.schoolsfirstfcu.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1014,Soft Pull Credit Cards,Logix Federal Credit Union,Logix Cards,https://www.logixbanking.com/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1015,Soft Pull Credit Cards,RBFCU,RBFCU Cards,https://www.rbfcu.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1016,Soft Pull Credit Cards,Tower Federal Credit Union,Tower FCU,https://www.towerfcu.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1017,Soft Pull Credit Cards,Patelco Credit Union,Patelco Cards,https://www.patelco.org/credit-cards,Yes,Free membership,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1018,BNPL & Fintech,Affirm,Affirm,https://www.affirm.com,Yes,Soft pull check,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1019,BNPL & Fintech,Klarna,Klarna,https://www.klarna.com/us,Yes,,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1020,BNPL & Fintech,Afterpay,Afterpay,https://www.afterpay.com,Yes,,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1021,BNPL & Fintech,Sezzle,Sezzle,https://www.sezzle.com,Yes,,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1022,BNPL & Fintech,Zip (QuadPay),Zip,https://zip.co/us,Yes,,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1023,BNPL & Fintech,PayPal,PayPal Pay in 4,https://www.paypal.com/us/webapps/mpp/pay-in-4,Yes,,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1024,Shipping & Delivery,UPS,UPS My Choice,https://www.ups.com/us/en/services/account-management/my-choice,Yes,Delivery alerts,Full Registration,"email, name, phone",Yes,None noted,None noted  
1025,Shipping & Delivery,FedEx,FedEx Delivery Manager,https://www.fedex.com/en-us/delivery-manager,Yes,Alerts,Full Registration,"email, name, phone",Yes,None noted,None noted  
1026,Shipping & Delivery,USPS,USPS Informed Delivery,https://informeddelivery.usps.com,Yes,Scan mail,Full Registration,"email, name, phone",Yes,None noted,None noted  
1027,Shipping & Delivery,DHL,DHL Rewards,https://www.dhl.com/us-en/rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1028,Shipping & Delivery,OnTrac,OnTrac Tracking,https://www.ontrac.com/track,Yes,Free tracking,Full Registration,"email, name, phone",Yes,None noted,None noted  
1029,Shipping & Delivery,LaserShip,LaserShip Track,https://www.lasership.com/track,Yes,Free tracking,Full Registration,"email, name, phone",Yes,None noted,None noted  
1030,Adoption & Animal Welfare,Petfinder,Petfinder Adoption,https://www.petfinder.com,Yes,Adopt pets,Full Registration,"email, name, phone",Yes,None noted,None noted  
1031,Adoption & Animal Welfare,Adopt-a-Pet,Adopt-a-Pet,https://www.adoptapet.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1032,Adoption & Animal Welfare,ASPCA,ASPCA Adoptions,https://www.aspca.org,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1033,Adoption & Animal Welfare,Humane Society,Humane Society,https://www.humanesociety.org,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1034,Adoption & Animal Welfare,Rescue Me,Rescue Me,https://www.rescueme.org,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1035,Adoption & Animal Welfare,Petango,Petango,https://www.petango.com,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
1036,Adoption & Animal Welfare,AKC,AKC Marketplace,https://marketplace.akc.org,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
